,blue,blue,green,green,red,red,yellow,yellow
20,[0.36619171 0.31817113 0.60777564],[0.15752775 0.10395377 0.12556357],[0.47630274 0.79565094 0.29829347],[0.08940766 0.09358924 0.08873588],[0.68868601 0.0715231  0.10289718],[0.05351739 0.03314439 0.03751496],[0.97628082 0.97628082 0.70328861],[0.03990896 0.03990896 0.13182849]
21,[0.36619452 0.31817007 0.6077755 ],[0.15752883 0.10395356 0.12556302],[0.43416544 0.75859636 0.27096411],[0.09555306 0.09349113 0.08509445],[0.68518397 0.06977869 0.10038757],[0.05270272 0.03245774 0.03685192],[0.9783737  0.9783737  0.71874244],[0.03643283 0.03643283 0.12266433]
22,[0.32957879 0.28635629 0.62425118],[0.15384531 0.10266934 0.12062417],[0.43416544 0.75859636 0.27096411],[0.09555306 0.09349113 0.08509445],[0.67269091 0.06502083 0.09354265],[0.05124212 0.03055397 0.03497947],[0.9783737  0.9783737  0.71874244],[0.03643283 0.03643283 0.12266433]
23,[0.32957879 0.28635629 0.62425118],[0.15384531 0.10266934 0.12062417],[0.43416544 0.75859636 0.27096411],[0.09555306 0.09349113 0.08509445],[0.67269091 0.06502083 0.09354265],[0.05124212 0.03055397 0.03497947],[0.9783737  0.9783737  0.71874244],[0.03643283 0.03643283 0.12266433]
24,[0.32957879 0.28635629 0.62425118],[0.15384531 0.10266934 0.12062417],[0.43416544 0.75859636 0.27096411],[0.09555306 0.09349113 0.08509445],[0.67269091 0.06502083 0.09354265],[0.05124212 0.03055397 0.03497947],[0.9783737  0.9783737  0.71874244],[0.03643283 0.03643283 0.12266433]
25,[0.31388608 0.2727216  0.61842839],[0.15144578 0.10149927 0.11555888],[0.43416544 0.75859636 0.27096411],[0.09555306 0.09349113 0.08509445],[0.66985538 0.06357586 0.09146383],[0.05045711 0.02996682 0.03439225],[0.9783737  0.9783737  0.71874244],[0.03643283 0.03643283 0.12266433]
26,[0.31388608 0.2727216  0.61842839],[0.15144578 0.10149927 0.11555888],[0.40953585 0.76328516 0.26321735],[0.09092567 0.08401021 0.07681172],[0.67364951 0.07296666 0.09710033],[0.04375708 0.02649956 0.02996657],[0.98012718 0.98012718 0.73169023],[0.03351365 0.03351365 0.11461852]
27,[0.30407576 0.26478222 0.61028311],[0.1465838  0.09820993 0.11170008],[0.40953585 0.76328516 0.26321735],[0.09092567 0.08401021 0.07681172],[0.6798073  0.07158987 0.09526818],[0.04490312 0.02609811 0.02957569],[0.98065016 0.98065016 0.71243517],[0.03264183 0.03264183 0.12532022]
28,[0.27873826 0.24271891 0.62641828],[0.14143205 0.09538164 0.10525658],[0.34931019 0.72485524 0.22450904],[0.09859173 0.08022162 0.07420628],[0.6914511  0.06898651 0.09180375],[0.0468629  0.02532865 0.02881821],[0.98290014 0.98290014 0.62959365],[0.02888473 0.02888473 0.16290456]
29,[0.27873826 0.24271891 0.62641828],[0.14143205 0.09538164 0.10525658],[0.34931019 0.72485524 0.22450904],[0.09859173 0.08022162 0.07420628],[0.6914511  0.06898651 0.09180375],[0.0468629  0.02532865 0.02881821],[0.98290014 0.98290014 0.62959365],[0.02888473 0.02888473 0.16290456]
30,[0.27873826 0.24271891 0.62641828],[0.14143205 0.09538164 0.10525658],[0.34931019 0.72485524 0.22450904],[0.09859173 0.08022162 0.07420628],[0.6914511  0.06898651 0.09180375],[0.0468629  0.02532865 0.02881821],[0.98278868 0.98278868 0.63821304],[0.02760123 0.02760123 0.15726165]
31,[0.2389214  0.26154481 0.64421158],[0.13074204 0.1039187  0.10097882],[0.34931019 0.72485524 0.22450904],[0.09859173 0.08022162 0.07420628],[0.67860386 0.0643093  0.08557955],[0.04595502 0.02391219 0.02739703],[0.98278868 0.98278868 0.63821304],[0.02760123 0.02760123 0.15726165]
32,[0.2389214  0.26154481 0.64421158],[0.13074204 0.1039187  0.10097882],[0.34931019 0.72485524 0.22450904],[0.09859173 0.08022162 0.07420628],[0.67860386 0.0643093  0.08557955],[0.04595502 0.02391219 0.02739703],[0.98278868 0.98278868 0.63821304],[0.02760123 0.02760123 0.15726165]
